No of topics,Top n largest percentage,Top n largest,Match threshold,Accuracy
5,40%,2,60,0.12
5,40%,2,80,0.12
5,40%,2,100,0.12
5,60%,3,60,0.8
5,60%,3,80,0.16
5,60%,3,100,0.16
5,80%,4,60,0.41
5,80%,4,80,0.41
5,80%,4,100,1
5,100%,5,60,1
5,100%,5,80,1
5,100%,5,100,1
7,40%,3,60,0.56
7,40%,3,80,0.6
7,40%,3,100,0.6
7,60%,4,60,0.56
7,60%,4,80,0.08
7,60%,4,100,0.08
7,80%,6,60,1
7,80%,6,80,1
7,80%,6,100,0.29
7,100%,7,60,1
7,100%,7,80,1
7,100%,7,100,1
10,40%,4,60,0.23
10,40%,4,80,0.01
10,40%,4,100,0.01
10,60%,6,60,0.75
10,60%,6,80,0.25
10,60%,6,100,0.01
10,80%,8,60,1
10,80%,8,80,0.72
10,80%,8,100,0.08
10,100%,10,60,1
10,100%,10,80,1
10,100%,10,100,1
12,40%,5,60,0.41
12,40%,5,80,0.08
12,40%,5,100,0.003
12,60%,7,60,0.46
12,60%,7,80,0.1
12,60%,7,100,0
12,80%,10,60,1
12,80%,10,80,1
12,80%,10,100,0.02
12,100%,12,60,1
12,100%,12,80,1
12,100%,12,100,1
20,40%,8,60,0.92
20,40%,8,80,0.14
20,40%,8,100,0
20,60%,12,60,1
20,60%,12,80,1
20,60%,12,100,1
20,80%,16,60,1
20,80%,16,80,0.81
20,80%,16,100,0.003
20,100%,20,60,1
20,100%,20,80,1
20,100%,20,100,1
